centre;codprod;codof;sequence;codop;dtedeb;dtefin;couleur
MAC501;P07;OF09;0001;0010;2025-11-26 07:12:00.000;2025-11-27 13:36:00.000;(np.float64(66.73461543184293), np.float64(109.1430127435058), np.float64(217.93603199294995))
MAC501;P01;OF10;0001;0010;2025-11-27 13:36:00.000;2025-11-28 02:25:00.000;(np.float64(161.4809380240878), np.float64(111.01000251895505), np.float64(111.19025586004479))
MAC501;P05;OF11;0001;0010;2025-11-28 02:25:00.000;2025-11-28 11:05:00.000;(np.float64(184.01129014246226), np.float64(133.16611483703295), np.float64(238.15615234086914))
MAC501;P06;OF12;0001;0010;2025-11-28 11:05:00.000;2025-11-28 17:23:00.000;(np.float64(157.0017969892292), np.float64(138.5044673775161), np.float64(107.58145069839264))
MAC501;P01;OF13;0001;0010;2025-11-28 17:23:00.000;2025-11-29 02:33:00.000;(np.float64(201.70606344835224), np.float64(108.17695509171276), np.float64(65.59301594388728))
MAC501;P07;OF14;0001;0010;2025-11-29 02:33:00.000;2025-11-29 03:50:00.000;(np.float64(40.74210774200166), np.float64(229.96006888952826), np.float64(181.93474827446556))
MAC501;P08;OF15;0001;0010;2025-11-29 03:50:00.000;2025-11-29 10:23:00.000;(np.float64(196.77622324143022), np.float64(65.914185408901), np.float64(191.47942647201833))
MAC501;P01;OF16;0001;0010;2025-11-29 10:23:00.000;2025-12-01 02:55:00.000;(np.float64(111.37656845748889), np.float64(125.30098559193597), np.float64(164.30195485086242))
MAC501;P10;OF17;0001;0010;2025-12-01 02:55:00.000;2025-12-01 06:25:00.000;(np.float64(112.89830897413289), np.float64(227.91260008881045), np.float64(41.33089955515048))
MAC501;P02;OF18;0001;0010;2025-12-01 06:25:00.000;2025-12-01 09:05:00.000;(np.float64(229.2366692289212), np.float64(39.56916584136516), np.float64(79.80577191715366))
MAC501;P03;OF19;0001;0010;2025-12-01 09:05:00.000;2025-12-01 20:05:00.000;(np.float64(227.02877169067398), np.float64(176.8314883273454), np.float64(150.08403076878346))
MAC501;P01;OF20;0001;0010;2025-12-01 20:05:00.000;2025-12-02 01:37:00.000;(np.float64(178.38945478572822), np.float64(170.92629505764194), np.float64(199.81594561797584))
MAC501;P04;OF21;0001;0010;2025-12-02 01:37:00.000;2025-12-02 07:58:00.000;(np.float64(231.66391612929354), np.float64(172.1390671847137), np.float64(46.88611452749359))
MAC501;P05;OF22;0001;0010;2025-12-02 07:58:00.000;2025-12-02 12:38:00.000;(np.float64(128.48917227796613), np.float64(232.09771863453255), np.float64(232.81808493622054))
MAC501;P06;OF23;0001;0010;2025-12-02 12:38:00.000;2025-12-02 17:23:00.000;(np.float64(204.13057152545082), np.float64(97.29523183777468), np.float64(140.38548551180406))
MAC501;P08;OF24;0001;0010;2025-12-02 17:23:00.000;2025-12-02 21:59:00.000;(np.float64(161.5132991062673), np.float64(193.5077326153397), np.float64(164.8117728466074))
MAC501;P04;OF25;0001;0010;2025-12-02 21:59:00.000;2025-12-03 02:33:00.000;(np.float64(230.45904928913842), np.float64(152.0311118211575), np.float64(186.39001775951107))
MAC501;P02;OF26;0001;0010;2025-12-03 02:33:00.000;2025-12-03 07:43:00.000;(np.float64(234.363248488585), np.float64(115.90693688445022), np.float64(107.05605587411057))
MAC501;P05;OF27;0001;0010;2025-12-03 07:43:00.000;2025-12-03 11:23:00.000;(np.float64(138.21428523861726), np.float64(152.09536806513782), np.float64(236.36335572916693))
MAC501;P06;OF28;0001;0010;2025-12-03 11:23:00.000;2025-12-03 14:34:00.000;(np.float64(94.6147299559221), np.float64(162.7221084037193), np.float64(147.80334931515418))
MAC501;P07;OF29;0001;0010;2025-12-03 14:34:00.000;2025-12-04 20:58:00.000;(np.float64(176.33404009263265), np.float64(203.20229891483976), np.float64(204.8883637397151))
MAC501;P01;OF30;0001;0010;2025-12-04 20:58:00.000;2025-12-05 09:47:00.000;(np.float64(63.4729228577138), np.float64(55.426331641899026), np.float64(217.12816468698085))
MAC501;P05;OF31;0001;0010;2025-12-05 09:47:00.000;2025-12-05 18:27:00.000;(np.float64(224.853685582602), np.float64(229.80927501443728), np.float64(35.290811334922935))
MAC501;P06;OF32;0001;0010;2025-12-05 18:27:00.000;2025-12-06 00:45:00.000;(np.float64(112.09159747282483), np.float64(154.1586712187224), np.float64(168.19884095735))
MAC501;P01;OF33;0001;0010;2025-12-06 00:45:00.000;2025-12-06 09:55:00.000;(np.float64(197.54921634505848), np.float64(190.44580540740168), np.float64(123.70187491397274))
MAC501;P07;OF34;0001;0010;2025-12-06 09:55:00.000;2025-12-06 11:12:00.000;(np.float64(131.81248382247966), np.float64(96.36233331780325), np.float64(217.31329360995687))
MAC501;P08;OF35;0001;0010;2025-12-06 11:12:00.000;2025-12-06 17:45:00.000;(np.float64(60.75935333423817), np.float64(155.09688453561276), np.float64(219.75519243767852))
